,u,i,ts,label,idx
0,9,5,1598185800000.0,0,0
1,5,1,1598185802000.0,0,1
2,16,12,1598185805720.0,0,2
3,8,3,1598185807040.0,0,3
4,14,14,1598185813720.0,0,4
5,19,18,1598185815920.0,0,5
6,18,16,1598185818360.0,0,6
7,16,14,1598185821400.0,0,7
8,14,15,1598185825640.0,0,8
9,13,13,1598185827800.0,0,9
10,9,13,1598185827880.0,tackle,10
11,11,13,1598185829880.0,0,11
12,13,14,1598185832280.0,0,12
13,14,18,1598185834200.0,0,13
14,18,15,1598185839720.0,0,14
15,15,15,1598185840920.0,0,15
16,14,19,1598185845720.0,0,16
17,19,17,1598185847920.0,0,17
18,6,1,1598185850320.0,0,18
19,8,7,1598185855240.0,0,19
20,7,5,1598185858400.0,0,20
21,5,7,1598185864280.0,0,21
22,9,7,1598185871280.0,0,22
23,7,1,1598185873600.0,0,23
24,10,22,1598185874720.0,interception,24
25,2,9,1598185876400.0,0,25
26,9,6,1598185877120.0,0,26
27,6,22,1598185880840.0,dribble,27
28,17,6,1598185881000.0,tackle,28
29,19,15,1598185882800.0,0,29
30,15,13,1598185890680.0,0,30
31,13,18,1598185891480.0,0,31
32,19,12,1598185894760.0,0,32
33,9,22,1598185895680.0,interception,33
34,9,0,1598185897560.0,0,34
35,0,3,1598185904600.0,0,35
36,2,24,1598185909760.0,shot,36
37,22,23,1598185910520.0,ball out,37
38,22,23,1598185910520.0,ball out,38
39,21,21,1598185935720.0,0,39
40,7,8,1598185939280.0,0,40
41,8,1,1598185940040.0,0,41
42,9,6,1598185942440.0,0,42
43,6,5,1598185952240.0,0,43
44,7,3,1598185956400.0,0,44
45,3,0,1598185959080.0,0,45
46,14,22,1598185960560.0,interception,46
47,5,5,1598185964120.0,0,47
48,12,15,1598185974480.0,0,48
49,15,12,1598185978160.0,0,49
50,12,15,1598185980320.0,0,50
51,15,15,1598185981520.0,0,51
52,3,12,1598185981760.0,tackle,52
53,22,23,1598185982080.0,ball out,53
54,22,23,1598185982080.0,ball out,54
55,15,14,1598185984440.0,0,55
56,14,17,1598185989120.0,0,56
57,9,17,1598185990920.0,tackle,57
58,9,0,1598185995160.0,0,58
59,0,22,1598185998040.0,dribble,59
60,18,0,1598185998120.0,tackle,60
61,0,22,1598186002200.0,dribble,61
62,14,23,1598186004040.0,clearence,62
63,1,3,1598186039640.0,0,63
64,3,1,1598186045440.0,0,64
65,1,0,1598186047400.0,0,65
66,13,0,1598186050720.0,tackle,66
67,13,12,1598186053120.0,0,67
68,11,15,1598186058000.0,0,68
69,14,15,1598186062080.0,0,69
70,6,3,1598186063880.0,0,70
71,20,20,1598186070520.0,0,71
72,7,5,1598186078840.0,0,72
73,5,1,1598186085800.0,0,73
74,14,15,1598186089240.0,0,74
75,15,18,1598186092120.0,0,75
76,19,16,1598186094400.0,0,76
77,17,18,1598186095400.0,0,77
78,18,10,1598186098000.0,0,78
79,8,7,1598186106520.0,0,79
80,7,1,1598186111280.0,0,80
81,14,18,1598186118960.0,0,81
82,18,18,1598186121120.0,0,82
83,19,16,1598186121440.0,0,83
84,10,16,1598186127120.0,0,84
85,16,10,1598186128040.0,0,85
86,17,19,1598186129960.0,0,86
87,19,14,1598186133040.0,0,87
88,14,15,1598186137640.0,0,88
89,15,14,1598186139080.0,0,89
90,14,15,1598186141320.0,0,90
91,15,13,1598186143040.0,0,91
92,5,13,1598186145200.0,tackle,92
93,22,23,1598186145720.0,ball out,93
94,22,23,1598186145720.0,ball out,94
95,3,5,1598186157640.0,0,95
96,5,4,1598186158120.0,0,96
97,4,7,1598186160160.0,0,97
98,7,2,1598186164200.0,0,98
99,2,5,1598186166720.0,0,99
100,5,1,1598186170360.0,0,100
101,19,22,1598186171480.0,interception,101
102,15,11,1598186174640.0,0,102
103,12,9,1598186177720.0,tackle,103
104,12,15,1598186179720.0,0,104
105,4,19,1598186181720.0,tackle,105
106,6,3,1598186183600.0,0,106
107,3,1,1598186185360.0,0,107
108,22,23,1598186187840.0,ball out,108
109,1,4,1598186192240.0,0,109
110,4,8,1598186197680.0,0,110
111,8,9,1598186199920.0,0,111
112,9,1,1598186202520.0,0,112
113,1,6,1598186209080.0,0,113
114,15,1,1598186209360.0,tackle,114
115,19,15,1598186211360.0,0,115
116,3,6,1598186213840.0,0,116
117,6,2,1598186216080.0,0,117
118,21,21,1598186230760.0,0,118
119,18,19,1598186234440.0,0,119
120,19,16,1598186236160.0,0,120
121,16,14,1598186238960.0,0,121
122,14,18,1598186243720.0,0,122
123,18,16,1598186245440.0,0,123
124,21,21,1598186249320.0,0,124
125,4,9,1598186251280.0,0,125
126,10,10,1598186253720.0,0,126
127,17,16,1598186254760.0,0,127
128,16,11,1598186256520.0,0,128
129,11,15,1598186260200.0,0,129
130,8,4,1598186270080.0,0,130
131,0,4,1598186273120.0,0,131
132,13,22,1598186274320.0,interception,132
133,6,22,1598186275760.0,interception,133
134,9,3,1598186277480.0,0,134
135,3,1,1598186280960.0,0,135
136,1,4,1598186285360.0,0,136
137,4,7,1598186289120.0,0,137
138,7,8,1598186293280.0,0,138
139,8,1,1598186296080.0,0,139
140,1,4,1598186303640.0,0,140
141,4,0,1598186306320.0,0,141
142,16,23,1598186307200.0,clearence,142
143,11,13,1598186309760.0,0,143
144,5,8,1598186313920.0,0,144
145,8,2,1598186319200.0,0,145
146,16,23,1598186320640.0,clearence,146
147,19,12,1598186322840.0,0,147
148,12,13,1598186323680.0,0,148
149,5,22,1598186327760.0,dribble,149
150,17,13,1598186328840.0,0,150
151,11,13,1598186334160.0,0,151
152,13,12,1598186337040.0,0,152
153,12,24,1598186339360.0,shot,153
154,15,11,1598186341800.0,0,154
155,4,23,1598186343600.0,clearence,155
156,19,18,1598186353560.0,0,156
157,18,16,1598186355160.0,0,157
158,16,18,1598186359200.0,0,158
159,18,15,1598186362960.0,0,159
160,3,4,1598186364960.0,0,160
161,4,5,1598186367680.0,0,161
162,3,5,1598186371840.0,0,162
163,5,7,1598186374560.0,0,163
164,7,8,1598186378960.0,0,164
165,8,2,1598186381440.0,0,165
166,21,21,1598186386640.0,0,166
167,18,16,1598186390400.0,0,167
168,16,18,1598186395200.0,0,168
169,18,19,1598186399800.0,0,169
170,19,18,1598186400240.0,0,170
171,18,15,1598186402600.0,0,171
172,15,18,1598186403400.0,0,172
173,18,14,1598186407280.0,0,173
174,14,13,1598186409400.0,0,174
175,15,22,1598186413080.0,dribble,175
176,20,15,1598186413240.0,tackle,176
177,20,20,1598186415680.0,0,177
178,4,0,1598186421600.0,0,178
179,8,8,1598186425440.0,0,179
180,0,8,1598186425960.0,0,180
181,8,7,1598186428120.0,0,181
182,7,4,1598186430760.0,0,182
183,4,3,1598186433840.0,0,183
184,3,2,1598186437720.0,0,184
185,18,23,1598186439360.0,clearence,185
186,1,0,1598186473720.0,0,186
187,0,8,1598186476720.0,0,187
188,8,5,1598186479160.0,0,188
189,14,23,1598186480240.0,clearence,189
190,22,23,1598186486160.0,ball out,190
191,8,4,1598186492640.0,0,191
192,0,4,1598186495440.0,0,192
193,16,18,1598186508320.0,0,193
194,18,19,1598186514560.0,0,194
