id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier_0_id,qualifier_0_qualifierId,qualifier_0_value,qualifier_1_id,qualifier_1_qualifierId,qualifier_1_value,qualifier_2_id,qualifier_2_qualifierId,qualifier_2_value,qualifier_3_id,qualifier_3_qualifierId,qualifier_3_value,qualifier_4_id,qualifier_4_qualifierId,qualifier_4_value,qualifier_5_id,qualifier_5_qualifierId,qualifier_5_value,qualifier_6_id,qualifier_6_qualifierId,qualifier_6_value,qualifier_7_id,qualifier_7_qualifierId,qualifier_7_value,playerId,playerName,sequenceId,possessionId,qualifier_8_id,qualifier_8_qualifierId,qualifier_8_value,qualifier_9_id,qualifier_9_qualifierId,keyPass,qualifier_10_id,qualifier_10_qualifierId,qualifier_11_id,qualifier_11_qualifierId,qualifier_12_id,qualifier_12_qualifierId,qualifier_13_id,qualifier_13_qualifierId,qualifier_11_value,qualifier_12_value,qualifier_13_value,qualifier_14_id,qualifier_14_qualifierId,qualifier_14_value,qualifier_15_id,qualifier_15_qualifierId,qualifier_15_value,qualifier_16_id,qualifier_16_qualifierId,qualifier_9_value,qualifier_17_id,qualifier_17_qualifierId,qualifier_10_value,qualifier_16_value,qualifier_18_id,qualifier_18_qualifierId,qualifier_18_value,qualifier_19_id,qualifier_19_qualifierId,qualifier_19_value,qualifier_20_id,qualifier_20_qualifierId,qualifier_17_value,playerTrackingId,timeMilliSec
2205857923,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,50.0,50.0,2020-08-23T11:30:06.565Z,2020-08-24T01:16:37Z,2442630423.0,56.0,Back,2442630425.0,140.0,29.4,2442630427.0,141.0,69.0,2442630429.0,213.0,2.6,2442630431.0,212.0,25.2,2442630433.0,279.0,S,2442630435.0,318.0,0.0000113,2443572971.0,178.0,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060873,1598185800040.0
2205857935,4,1,1,0,2,5z1b7fuvpqe6vnigvopomvecu,0,29.4,69.0,2020-08-23T11:30:08.573Z,2020-08-24T01:19:48Z,2442630473.0,157.0,,2442630475.0,56.0,Right,2442630477.0,140.0,75.8,2442630479.0,141.0,20.1,2442630481.0,1.0,,2442630483.0,213.0,5.7,2442630485.0,212.0,59.0,2443575929.0,178.0,,corn6i066rh7c7veva0sm3oid,K. Laifis,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857882,1598185802048.0
2205857959,3,1,1,0,5,89xivtxk59uzvhdsd6miao6tm,0,19.6,83.3,2020-08-23T11:30:12.284Z,2020-08-24T01:19:56Z,2442630595.0,3.0,,2442630597.0,56.0,Back,2442630599.0,140.0,33.0,2442630601.0,141.0,74.2,2442630603.0,213.0,5.9,2442630605.0,212.0,15.4,2443575979.0,178.0,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895588,1598185805759.0
2205857983,6,1,1,0,7,5z1b7fuvpqe6vnigvopomvecu,0,58.3,29.5,2020-08-23T11:30:13.587Z,2020-08-24T02:15:31Z,2442630743.0,3.0,,2442630745.0,56.0,Center,2442630747.0,140.0,68.4,2442630749.0,141.0,67.2,2442630751.0,213.0,1.2,2442630753.0,212.0,27.7,2443576495.0,178.0,,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908672,1598185807062.0
2205858021,6,1,1,0,13,89xivtxk59uzvhdsd6miao6tm,1,35.3,8.5,2020-08-23T11:30:20.274Z,2020-08-24T01:20:48Z,2442630969.0,56.0,Back,2442630971.0,140.0,32.0,2442630973.0,141.0,18.8,2442630975.0,213.0,2.0,2442630977.0,212.0,7.8,2442630979.0,318.0,0.00000551,2443576741.0,178.0,,,,,6lfje6glfgycun47flgmc9jvt,J. Mæhle,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864442,1598185813749.0
2205858035,7,1,1,0,16,89xivtxk59uzvhdsd6miao6tm,1,30.0,20.0,2020-08-23T11:30:22.474Z,2020-08-24T01:20:53Z,2442631057.0,56.0,Back,2442631059.0,140.0,22.6,2442631061.0,141.0,23.3,2442631063.0,213.0,2.9,2442631065.0,212.0,8.1,2442631067.0,318.0,0.00000199,2443576871.0,178.0,,,,,3yb66hal4fvr04bawz0y3efhl,D. Muñoz,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971264,1598185815949.0
2205858063,8,1,1,0,18,89xivtxk59uzvhdsd6miao6tm,1,24.8,25.9,2020-08-23T11:30:24.914Z,2020-08-24T01:21:03Z,2442631271.0,56.0,Back,2442631273.0,140.0,20.8,2442631275.0,141.0,76.3,2442631277.0,1.0,,2442631279.0,213.0,1.7,2442631281.0,212.0,34.5,2442631283.0,318.0,0.0000024,2443577043.0,178.0,,68vmg4qgr11vppc48hs8402jt,C. Cuesta,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945447,1598185818389.0
2205858089,9,1,1,0,21,89xivtxk59uzvhdsd6miao6tm,1,28.3,72.4,2020-08-23T11:30:27.958Z,2020-08-24T01:21:09Z,2442631451.0,155.0,,2442631453.0,196.0,,2442631455.0,56.0,Back,2442631457.0,140.0,34.1,2442631459.0,141.0,2.6,2442631461.0,1.0,,2442631465.0,213.0,4.8,2442631469.0,212.0,47.9,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,2.0,2.0,2442631471.0,318.0,0.00000838,2443577139.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895588,1598185821433.0
2205858121,10,1,1,0,25,89xivtxk59uzvhdsd6miao6tm,1,41.5,3.8,2020-08-23T11:30:32.214Z,2020-08-24T01:21:16Z,2442631633.0,56.0,Right,2442631635.0,140.0,62.7,2442631637.0,141.0,11.0,2442631639.0,213.0,0.2,2442631641.0,212.0,22.8,2442631643.0,318.0,0.00016666,2443577277.0,178.0,,,,,6lfje6glfgycun47flgmc9jvt,J. Mæhle,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864442,1598185825689.0
2205858123,11,1,1,0,27,89xivtxk59uzvhdsd6miao6tm,0,58.9,10.7,2020-08-23T11:30:34.384Z,2020-08-24T01:21:46Z,2442631647.0,56.0,Right,2442631649.0,140.0,57.5,2442631651.0,141.0,12.9,2442631653.0,213.0,2.3,2442631655.0,212.0,2.1,2442631675.0,236.0,,2442631677.0,233.0,7,2442631681.0,286.0,,86603cyr3osksy73el0ncy7yt,C. Dessers,2.0,2.0,2443577627.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823543,1598185827859.0
2205858125,7,74,1,0,28,5z1b7fuvpqe6vnigvopomvecu,1,42.4,87.5,2020-08-23T11:30:34.454Z,2020-08-24T01:21:48Z,2442631659.0,56.0,Back,2442631661.0,285.0,,2442631683.0,233.0,11,2443577631.0,178.0,,,,,,,,,,,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060873,1598185827929.0
2205858145,12,1,1,0,30,89xivtxk59uzvhdsd6miao6tm,1,64.0,17.1,2020-08-23T11:30:36.463Z,2020-08-24T01:21:52Z,2442631799.0,56.0,Right,2442631801.0,140.0,59.5,2442631803.0,141.0,4.6,2442631805.0,213.0,4.2,2442631807.0,212.0,9.7,2442631809.0,318.0,0.00012136,2443577645.0,178.0,,,,,7wh91ajt4v3w9kfdpp5hf5mmt,P. Onuachu,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721997,1598185829938.0
