firstName,lastName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,status,active,statsperform_id,opta_id,stats_id,placeOfBirth,height,foot,weight
Arne,Cassaert,A. Cassaert,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,11/20/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,32,active,yes,11lkzth28raolomw3l3rlvsdm,498384,1205370,,,,
Dimitar,Valentinov Velkovski,D. Velkovski,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,Defender,player,1/22/1995,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,19,active,yes,1e7u0otkuyc81nhumjkcrvmd,210711,996924,Vratsa,185,left,
Ahoueke Steeve Kévin,Denkey,K. Denkey,Togo,3jiuckrqd0zejkm452st5dyq7,Attacker,player,11/30/2000,France,7gww28djs405rfga69smki84o,12,active,yes,1gzgkjei16r4lt2fvcedy1jvt,245918,969614,Lomé,181,right,81
Andi,Koshi,A. Koshi,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2/17/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,44,active,yes,1ng8mptm1t32jirhkhfq2wyui,466510,1128809,,175,,66
Victor Alexander,da Silva,Vitinho,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,7/23/1999,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,2,active,yes,1qk1rbq1vcld8ejr5zjwjjxbe,441455,1093547,Belo Horizonte,175,right,72
Warleson,Stellion Lisboa Oliveira,Warleson,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Goalkeeper,player,8/31/1996,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,21,active,yes,21ipfd9gxws9vqpw9002o8ve1,227802,964145,Cuiabá,191,right,90
Leonardo Adelino,da Silva Lopes,Leonardo Lopes,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,11/30/1998,Portugal,1nbm5i9a0403zzvltn17lxinc,42,active,yes,2jhi0lbbo65dsfv4ho9pmlgix,201094,869941,Lisboa,168,right,61
Dino,Hotič,D. Hotič,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Attacker,player,7/26/1995,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,10,active,yes,2xba9p5cocj599cltnabjes45,120071,708833,Ljubljana,168,left,69
Alexander Jacques,Corryn,A. Corryn,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1/3/1994,Belgium,4wbzjcclyefma1ourvjsu4q2j,25,active,yes,3vvr419ewr112xr5weted4tsl,116107,655417,Gent,177,left,70
Miguel,Van Damme,M. Van Damme,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,9/25/1993,Belgium,4wbzjcclyefma1ourvjsu4q2j,16,active,yes,4l0l5gapagdmvfycduukjjbo5,166064,741119,,182,,80
Kylian,Hazard,K. Hazard,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,8/5/1995,Belgium,4wbzjcclyefma1ourvjsu4q2j,7,active,yes,523y6elubi2i0racrmh8ry11x,191768,831353,La Louvière,171,right,71
Jérémy,Taravel,J. Taravel,France,7gww28djs405rfga69smki84o,Defender,player,4/17/1987,France,7gww28djs405rfga69smki84o,4,active,no,53xkvkf3xky3gqz5ywedm9mmt,42792,395465,Vincennes,191,left,85
Serge-Philippe,Raux-Yao,S. Raux-Yao,France,7gww28djs405rfga69smki84o,Defender,player,5/30/1999,France,7gww28djs405rfga69smki84o,17,active,yes,5kkvxgrt5y92hjj8hw28b7l9m,488437,1180032,Pontoise,197,left,86
Olivier,Deman,O. Deman,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,4/6/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,23,active,yes,5wn1xudozb4s78x0m8ch7vn8q,468523,1146480,Antwerpen,181,,
Anthony,Musaba,A. Musaba,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,12/6/2000,Netherlands,6hzi5pltnz67q4la8yli9qfv6,11,active,no,6oynq4ickyxictf2e0ilemqne,480364,1162381,Nijmegen,182,,
Hannes,Van der Bruggen,H. Van der Bruggen,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,4/1/1993,Belgium,4wbzjcclyefma1ourvjsu4q2j,14,active,no,7weuixp1j81ga9pjhouf2h2hh,90961,556331,Aalst,181,right,73
Strahinja,Pavlović,S. Pavlović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,5/24/2001,Yugoslavia,4tbxaicghm9l9p07quja51vfu,15,active,no,7wjdqyl3bkhsfca5cu4riwley,487606,1189588,Šabac,194,left,
Figo,Suffys,F. Suffys,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,3/13/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,yes,80rbhp347unh2x9pagvgagzmy,509257,1227898,,,,
Jean,Harisson Marcelin,J. Marcelin,France,7gww28djs405rfga69smki84o,Defender,player,2/12/2000,France,7gww28djs405rfga69smki84o,24,active,no,8am2h5qc7296fima2r4wam63u,442261,1094145,,197,right,82
Charles,Vanhoutte,C. Vanhoutte,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,9/16/1998,Belgium,4wbzjcclyefma1ourvjsu4q2j,14,active,yes,8jc7tw0nw37trgyli0oyz1soa,453106,1127554,,182,,74
Aldom Jean,Deuro,A. Deuro,Mali,d0v29nncgikdswlxpdq553zz,Midfielder,player,12/20/2000,Mali,d0v29nncgikdswlxpdq553zz,6,active,no,8kmyky7acdowzceybm3ahrskq,477194,1157941,,178,,
Thomas,Didillon,T. Didillon,France,7gww28djs405rfga69smki84o,Goalkeeper,player,11/28/1995,France,7gww28djs405rfga69smki84o,16,active,no,8xitc97j4scfajm8ucq7e5l91,165457,795102,Seclin,193,left,84
Ike Dominique,Ugbo,I. Ugbo,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,9/21/1998,England,1fk5l4hkqk12i7zske6mcqju6,9,active,no,900q6uo21i95co96snohqofyt,181913,897426,London,186,right,73
Sébastien,Bruzzese,S. Bruzzese,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,3/1/1989,Belgium,4wbzjcclyefma1ourvjsu4q2j,89,active,yes,9hnyebqut9tmn4q0m0y9n3kd1,43026,396681,Liège,185,right,82
Johanna,Ochieng Omolo,J. Omolo,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,Midfielder,player,7/31/1989,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,15,active,no,9tknuwf5fed1b0x0qqsfbe7kl,70875,605555,Nairobi,179,right,73
Merveille,Goblet,M. Goblet,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,11/20/1994,Belgium,4wbzjcclyefma1ourvjsu4q2j,18,active,no,9w8hmfevhhzd2phnkmq6zryz9,151604,614189,,180,right,78
Thibo,Somers,T. Somers,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,3/16/1999,Belgium,4wbzjcclyefma1ourvjsu4q2j,34,active,yes,a0ecz4nlxrr62dcwixtmjiwyy,496256,1197996,,173,,
Aboubakary,Kanté,A. Kanté,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,8/11/1994,France,7gww28djs405rfga69smki84o,11,active,no,ap21n3rt03nx7r2lk1dfry1ud,213579,881884,Pontoise,184,left,80
David Robert,Bates,D. Bates,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Defender,player,10/5/1996,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,3,active,no,btz2lf5s3h6svre1o5jgmvf85,165439,789589,Kirkcaldy,190,right,83
Naomichi,Ueda,N. Ueda,Japan,lxyibh89lpdc0bfian1nx0xq,Defender,player,10/24/1994,Japan,lxyibh89lpdc0bfian1nx0xq,5,active,no,cqjhp31uh46s2jfedo48h86ol,158234,726175,Kumamoto,186,right,77
Alimami,Gory,A. Gory,France,7gww28djs405rfga69smki84o,Attacker,player,8/30/1996,France,7gww28djs405rfga69smki84o,28,active,no,df5no35i3gkh7mfv2x4j96eol,229225,922880,,182,right,72
Kévin,Hoggas,K. Hoggas,France,7gww28djs405rfga69smki84o,Midfielder,player,11/16/1991,France,7gww28djs405rfga69smki84o,20,active,no,dk8akbsh3cqe0qlyjcqv3om39,212754,880455,Besançon,183,right,77
Olivier,Scholaert,O. Scholaert,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,9/25/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,yes,eblinxj3j9o6j2zmvcqauvuju,509260,1227797,,,,
Guy Carel,Mbenza Kamboleke,G. Kamboleke,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Attacker,player,4/1/2000,Congo,1s2y6o0lwj69dj5ib5pid8f6r,9,active,no,egk2nnpvvup731trr0x2kj696,476252,1114450,Brazzaville,182,right,81
Robbe,Decostere,R. Decostere,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,5/8/1998,Belgium,4wbzjcclyefma1ourvjsu4q2j,8,active,yes,enyx6hc9mfglu3w2robv9hd9m,459053,1127547,,180,right,68
Calvin,Dekuyper,C. Dekuyper,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2/24/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,26,active,no,erhdb2ljxzone1j8i0cznqlii,496255,1197998,Oostende,190,,
Giulian,Biancone,G. Biancone,France,7gww28djs405rfga69smki84o,Defender,player,3/31/2000,France,7gww28djs405rfga69smki84o,41,active,no,esb4b21x729db8od4c4xt8ciy,437753,1069013,,187,right,
Elimane Frank,Kanoute,F. Kanoute,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,12/13/1998,Senegal,6hhqyhr5cwq2pfprlazyposyk,98,active,yes,sqef6515cb5pj5n59xu3in6x,434678,1075596,,186,right,
Mats,Rits,M. Rits,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,7/18/1993,Belgium,4wbzjcclyefma1ourvjsu4q2j,26,active,yes,13d7ao0j091449ia61cuut87p,66770,507927,Antwerpen,179,both,70
Siebe,Schrijvers,S. Schrijvers,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,7/18/1996,Belgium,4wbzjcclyefma1ourvjsu4q2j,16,active,yes,1fdi6uzonmsod2drzro8bj3rp,120939,691875,Lommel,178,right,74
David Chidozie,Okereke,D. Okereke,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,8/29/1997,Nigeria,63pvdwrsiq5b07mzi8igqei9p,21,active,no,1gnc1tbpmomiqt1sty2lktt5,221781,910317,Lagos,182,right,75
Eduard,Sobol,E. Sobol,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,4/20/1995,Ukraine,315w6fk6umfzf4qvba3t55u61,2,active,no,1hlvnmu8we38d44sdexhhxcyd,119674,727500,Vilnyansk,181,left,73
Matej,Mitrović,M. Mitrović,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,11/10/1993,Croatia,37hlakrwxyuzovaeoo4sezusp,15,active,yes,2at3mypppzmggglstgu2waoyd,170950,738873,Požega,187,right,85
Nathan,Fuakala,N. Fuakala,France,7gww28djs405rfga69smki84o,Defender,player,3/13/2001,France,7gww28djs405rfga69smki84o,,active,no,2f9jff7wy4ve7qh6iz73c2ove,465741,1156345,Roubaix,184,right,74
Bas,Leon Dost,B. Dost,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,5/31/1989,Netherlands,6hzi5pltnz67q4la8yli9qfv6,29,active,yes,395y7yj6o1xwr6uaxs4sjnjdh,52893,443164,Deventer,196,right,89
Senne,Lammens,S. Lammens,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,7/7/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,91,active,yes,398isvyux7zpjiwa2hzsxyc16,465247,1156364,Zottegem,193,right,92
Ignace,Van der Brempt,I. Van der Brempt,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,4/1/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,28,active,yes,3pba28sk4auqjp27jfssfvvxm,248882,1184613,Antwerpen,187,right,74
Éder Fabián,Álvarez Balanta,É. Balanta,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Midfielder,player,2/28/1993,Colombia,6kby8rq1p01fg5ds38ckkrcs5,3,active,yes,3qbl0ps3ms998s0apmpkre3md,155552,727328,Bogotá,181,left,84
Emmanuel Bonaventure,Dennis,E. Dennis,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,11/15/1997,Nigeria,63pvdwrsiq5b07mzi8igqei9p,42,active,no,3ztcz2dgfniqv141w7xsky7zd,230251,953857,Abuja,174,right,67
Ethan Shea,Horvath,E. Horvath,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,6/9/1995,USA,7hr2f89v44y65dyu9k92vprwn,22,active,no,4d3qpu9pxlwuw813mqrh2q2fp,168547,870467,Highlands Ranch,193,right,84
Federico,Ricca Rostagnol,F. Ricca,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,Defender,player,12/1/1994,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,18,active,yes,4juerzftkeiuzctoiei6dmtp1,169323,836800,Tarariras,178,left,73
Nabil,Dirar,N. Dirar,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2/25/1986,Morocco,2xdcc39z1k79pnjbtn9x31wdh,8,active,no,5luvojyc3zk1h4pm0rfefuml1,54930,347176,Casablanca,187,right,82
Mathis,Servais,M. Servais,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,11/23/2004,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,no,5vnahevg5ni0uopeyk1c9u0b8,513532,1238230,,,,
Samuel,Asoma,S. Asoma,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,7/15/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,no,5xjqstjus3hjtdq00jh4bbmne,248872,1156354,,173,,65
Michael,Krmenčík,M. Krmenčík,Czech Republic,5md5tpwr2nmqao528prx43jr7,Attacker,player,3/15/1993,Czech Republic,5md5tpwr2nmqao528prx43jr7,9,active,no,5yxmjnv5xa4evkrmh8nleebpx,95695,594883,Kraslice,191,right,84
Ahmed,Touba,A. Touba,Algeria,1ayprcriqhb8iv10ch70clppu,Defender,player,3/13/1998,France,7gww28djs405rfga69smki84o,,active,no,65nkv8grj2jhs2hlja63bp90p,240864,952409,Roubaix,184,left,81
Clinton Mukoni,Mata Pedro Lourenço,Clinton Mata,Angola,3k53bkrjx5zsxchc6e3mcd834,Defender,player,11/7/1992,Belgium,4wbzjcclyefma1ourvjsu4q2j,77,active,yes,6tvnsmtj9mma96e8famksevv9,189781,825935,Verviers,180,right,72
Thibault,Vlietinck,T. Vlietinck,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,8/19/1997,Belgium,4wbzjcclyefma1ourvjsu4q2j,11,active,yes,73pmo92alzawlt2yo2bfartn9,178975,885076,Knokke,178,right,62
Noa,Noëll Lang,N. Lang,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,6/17/1999,Netherlands,6hzi5pltnz67q4la8yli9qfv6,10,active,no,7ew7g18qo649t8ld44omgib55,421002,977282,Capelle aan den IJssel,179,right,68
Charles,De Ketelaere,C. De Ketelaere,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,3/10/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,90,active,yes,7ox43isyywsnrfcd56nm65be,465716,1156357,Brugge,185,left,74
Ibrahima,Breze Fofana,I. Breze,Guinea,4i9sg55wigitrfx7290f59ceo,Midfielder,player,8/15/2002,Guinea,4i9sg55wigitrfx7290f59ceo,14,active,no,8fle9xgnd83jth2i2d6vh0k16,482192,1251049,Conakry,,right,
Erhan,Mašović,E. Mašović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,11/22/1998,Serbia,5w4ve503bjdsshwx9ho6jxzx0,,active,no,8ksi5s9he1uxai3lfcq46grf9,228461,975940,Novi Pazar,189,right,82
Nick,Shinton,N. Shinton,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,5/10/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,33,active,yes,96yp38h6rm09nluuvlyy18and,449868,1116390,Aalst,194,left,88
Cisse,Sandra,C. Sandra,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,12/16/2003,Belgium,4wbzjcclyefma1ourvjsu4q2j,98,active,yes,9rsuz6bumw4jyw25gpingu25m,497093,1189447,,186,left,74
Cyril,Ngonge,C. Ngonge,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,5/26/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,no,a9z0jsjwfteq974bxwucvc4ix,465199,1153403,,179,left,73
Tahith,Chong,T. Chong,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,12/4/1999,Curaçao,5im58ram567ao2fbnz39sm8vk,7,active,no,apzgvyoya5b4yd6vpev9o7krt,222677,1051895,Willemstad,185,left,75
Thibo,Baeten,T. Baeten,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,6/4/2002,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,no,b157xbo2jovsxkgr3wie3rip6,248885,1156363,Aalst,182,left,79
Arne,Engels,A. Engels,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,9/8/2003,Belgium,4wbzjcclyefma1ourvjsu4q2j,,active,no,b6woton2db3w4rm67vu69buy2,493167,1233516,,184,,71
Ruud Willem,Vormer,R. Vormer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,5/11/1988,Netherlands,6hzi5pltnz67q4la8yli9qfv6,25,active,yes,bhn5mxfek9byb7m8sovpizzkl,39188,351443,Hoorn,178,right,80
Maxim,De Cuyper,M. De Cuyper,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,12/22/2000,Belgium,4wbzjcclyefma1ourvjsu4q2j,55,active,no,bjhjz96omjukrg6tj3mny39t6,465730,1156356,,186,left,66
Daniel Alejandro,Pérez Córdova,D. Pérez,Venezuela,1er0616j12s9yghuzvsx76d5v,Attacker,player,1/17/2002,Venezuela,1er0616j12s9yghuzvsx76d5v,30,active,yes,bwk0ralfmstrrsy3lsatedfmy,479807,1253535,Caracas,189,right,77
Simon Luc Hildebert,Mignolet,S. Mignolet,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,3/6/1988,Belgium,4wbzjcclyefma1ourvjsu4q2j,88,active,yes,byfrgpc6tgz8lto1gor03y5sl,66797,347350,Sint-Truiden,193,right,87
Youssouph Mamadou,Badji,Y. Badji,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,12/20/2001,Senegal,6hhqyhr5cwq2pfprlazyposyk,27,active,yes,bz77hr28a1yskifpuvzu8smsq,476414,1167629,,192,right,80
Odilon,Kossounou,O. Kossounou,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,1/4/2001,Côte d'Ivoire,tin6kf561ywonqan0mettr98,5,active,no,cis0z72hgahfnfjduk7hdnz3e,208540,1160334,Abidjan,188,right,72
Thomas,Van den Keybus,T. Van den Keybus,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,4/25/2001,Belgium,4wbzjcclyefma1ourvjsu4q2j,97,active,no,dd711ekg0nlaosmsy2lz13syy,465756,1189202,Brugge,181,left,71
